description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Paladin's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Paladin's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Paladin's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Paladin's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Paladin's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Paladin's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Paladin's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Paladin's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
SORCERESS	0																																																																																																							0
Sorceress's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Sorceress's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Sorceress's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk1	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Sorceress's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Sorceress's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Sorceress's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Sorceress's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Sorceress's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Sorceress's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Sorceress's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
TEMPERING	0																																																																																																							0
CREATION	0																																																																																																							0
Magic Weapon + Orb of Eternity -> Tempered Weapon	1			100					2	weap,mag	erb						useitem,tmp		99	99																																																																																				0
Magic Armor + Orb of Eternity -> Tempered Armor	1			100					2	armor,mag	erb						useitem,tmp		99	99																																																																																				0
Magic Ring + Orb of Eternirty -> Tempered Ring	1			100					2	ring,mag	erb						useitem,tmp		99	99																																																																																				0
Magic Amulet + Orb of Eternirty -> Tempered Amulet	1			100					2	amu,mag	erb						useitem,tmp		99	99																																																																																				0
TEMPERED WEAPON	0																																																																																																							0
Tempered Weapon + Jewel Fragment + Perfect Amethyst -> Weapon + Attack Rating	1			100					3	weap,tmp	jfg	gpv					useitem				att			150	150																																																																															0
Tempered Weapon + Jewel Fragment + Perfect Diamond -> Weapon + Damage to Undead	1			100					3	weap,tmp	jfg	gpw					useitem				dmg-undead			68	68																																																																															0
Tempered Weapon + Jewel Fragment + Perfect Emerald -> Weapon + Poison Damage	1			100					3	weap,tmp	jfg	gpg					useitem				dmg-pois		175	100	100																																																																															0
Tempered Weapon + Jewel Fragment + Perfect Ruby -> Weapon + Fire Damage	1			100					3	weap,tmp	jfg	gpr					useitem				dmg-fire			15	20																																																																															0
Tempered Weapon + Jewel Fragment + Perfect Sapphire -> Weapon + Cold Damage	1			100					3	weap,tmp	jfg	gpb					useitem				dmg-cold		75	10	14																																																																															0
Tempered Weapon + Jewel Fragment + Perfect Skull -> Weapon + Dual Leech	1			100					3	weap,tmp	jfg	skz					useitem				lifesteal			4	4	manasteal			3	3																																																																										0
Tempered Weapon + Jewel Fragment + Perfect Topaz -> Weapon + Lightning Damage	1			100					3	weap,tmp	jfg	gpy					useitem				dmg-ltng			1	40																																																																															0
TEMPTERED ARMOR	0																																																																																																							0
Tempered Armor + Jewel Fragment + Perfect Amethyst -> Armor + Strength	1			100					3	armo,tmp	jfg	gpv					useitem				str			10	10																																																																															0
Tempered Armor + Jewel Fragment + Perfect Diamond -> Armor + Attack Rating	1			100					3	armo,tmp	jfg	gpw					useitem				att			100	100																																																																															0
Tempered Armor + Jewel Fragment + Perfect Emerald -> Armor + Dexterity	1			100					3	armo,tmp	jfg	gpg					useitem				dex			10	10																																																																															0
Tempered Armor + Jewel Fragment + Perfect Ruby -> Armor + Life	1			100					3	armo,tmp	jfg	gpr					useitem				hp			38	38																																																																															0
Tempered Armor + Jewel Fragment + Perfect Sapphire -> Armor + Mana	1			100					3	armo,tmp	jfg	gpb					useitem				mana			38	38																																																																															0
Tempered Armor + Jewel Fragment + Perfect Skull -> Armor + Life & Mana Regeneration	1			100					3	armo,tmp	jfg	skz					useitem				regen			5	5	regen-mana			19	19																																																																										0
Tempered Armor + Jewel Fragment + Perfect Topaz -> Armor + Magic Find	1			100					3	armo,tmp	jfg	gpy					useitem				mag%			24	24																																																																															0
TEMPERED RING	0																																																																																																							0
Tempered Ring + Jewel Fragment + Perfect Amethyst -> Ring + Flat Damage Reduction	1			100					3	ring,tmp	jfg	gpv					useitem				red-dmg			2	2																																																																															0
Tempered Ring + Jewel Fragment + Perfect Diamond -> Ring + Faster Block Rate	1			100					3	ring,tmp	jfg	gpw					useitem				block1			3	3																																																																															0
Tempered Ring + Jewel Fragment + Perfect Emerald -> Ring + Faster Attack Speed	1			100					3	ring,tmp	jfg	gpg					useitem				swing1			3	3																																																																															0
Tempered Ring + Jewel Fragment + Perfect Ruby -> Ring + Faster Hit Recovery	1			100					3	ring,tmp	jfg	gpr					useitem				balance1			3	3																																																																															0
Tempered Ring + Jewel Fragment + Perfect Sapphire -> Ring + Damage to Mana	1			100					3	ring,tmp	jfg	gpb					useitem				dmg-to-mana			3	3																																																																															0
Tempered Ring + Jewel Fragment + Perfect Skull -> Ring + Flat Magic Reduction	1			100					3	ring,tmp	jfg	skz					useitem				red-mag			2	2																																																																															0
Tempered Ring + Jewel Fragment + Perfect Topaz -> Ring + Faster Cast Rate	1			100					3	ring,tmp	jfg	gpy					useitem				cast1			3	3																																																																															0
TEMPERED AMULET	0																																																																																																							0
Tempered Amulet + Jewel Fragment + Perfect Amethyst -> Amulet + Defense	1			100					3	amu,tmp	jfg	gpv					useitem				ac			30	30																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Diamond -> Amulet + All Resistance	1			100					3	amu,tmp	jfg	gpw					useitem				res-all			19	19																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Emerald -> Amulet + Poison Resistance	1			100					3	amu,tmp	jfg	gpg					useitem				res-pois			40	40																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Ruby -> Amulet + Fire Resistance	1			100					3	amu,tmp	jfg	gpr					useitem				res-fire			40	40																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Sapphire -> Amulet + Cold Resistance	1			100					3	amu,tmp	jfg	gpb					useitem				res-cold			40	40																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Skull -> Amulet + Thorns	1			100					3	amu,tmp	jfg	skz					useitem				thorns			20	20																																																																															0
Tempered Amulet + Jewel Fragment + Perfect Topaz -> Amulet + Lightning Resistance	1			100					3	amu,tmp	jfg	gpy					useitem				res-ltng			40	40																																																																															0
TESTS																																																																																																								0
Unique	1			100					1	weap,set							usetype,uni	99	99	99																																																																																				0
Unique	1			100					1	armo,set							usetype,uni	99	99	99																																																																																				0
Unique	1			100					1	ring,mag							usetype,uni	99	99	99																																																																																				0
Unique	1			100					1	amu,mag							usetype,uni	99	99	99																																																																																				0
Set	1			100					1	weap,mag							usetype,set	99	99	99																																																																																				0
Set	1			100					1	armo,mag							usetype,set	99	99	99																																																																																				0
Set	1			100					1	ring,uni							usetype,set	99	99	99																																																																																				0
Set	1			100					1	amu,uni							usetype,set	99	99	99																																																																																				0
TOA	1			100					1	rvs							toa																																																																																							0
